seed,offset,ibd_f1,cusum_f1,delta,ibd_positive_fraction,cusum_positive_fraction,ibd_conf_false,cusum_conf_false
5018,200,0.0,0.0,0.0,0.0,0.0,0.20190767742482713,0.28322261202756555
5018,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.18659339717671988,0.28322261202756555
5018,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.19399600186476312,0.28322261202756555
5019,200,0.4,0.0,0.4,0.08333333333333333,0.0,0.177940907427735,0.28322261202756555
5019,500,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5019,1000,0.0,0.0,0.0,0.0,0.0,0.19399600186476312,0.28322261202756555
5020,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5020,500,0.4,0.0,0.4,0.08333333333333333,0.0,0.177940907427735,0.28322261202756555
5020,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.19236172367604312,0.28322261202756555
5021,200,0.0,0.0,0.0,0.16666666666666666,0.0,0.49698087804101443,0.28322261202756555
5021,500,0.18181818181818182,0.0,0.18181818181818182,0.3333333333333333,0.0,0.959086993970715,0.28322261202756555
5021,1000,0.0,0.0,0.0,0.041666666666666664,0.0,0.5094784700834453,0.28322261202756555
5022,200,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5022,500,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5022,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5023,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.1911118386151015,0.28322261202756555
5023,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.18947756042638148,0.28322261202756555
5023,1000,0.4,0.0,0.4,0.08333333333333333,0.0,0.18947756042638148,0.28322261202756555
5024,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5024,500,0.0,0.0,0.0,0.0,0.0,0.18370923392705824,0.28322261202756555
5024,1000,0.0,0.0,0.0,0.0,0.0,0.18082507067739662,0.28322261202756555
5025,200,0.0,0.0,0.0,0.0,0.0,0.18370923392705824,0.28322261202756555
5025,500,0.0,0.0,0.0,0.0,0.0,0.18659339717671988,0.28322261202756555
5025,1000,0.0,0.0,0.0,0.041666666666666664,0.0,0.28082133049936775,0.28322261202756555
5026,200,0.0,0.0,0.0,0.0,0.0,0.177940907427735,0.28322261202756555
5026,500,0.0,0.0,0.0,0.0,0.0,0.18370923392705824,0.28322261202756555
5026,1000,0.0,0.0,0.0,0.0,0.0,0.19236172367604312,0.28322261202756555
5027,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.18947756042638148,0.28322261202756555
5027,500,0.0,0.0,0.0,0.0,0.0,0.18659339717671988,0.28322261202756555
5027,1000,0.8,0.0,0.8,0.08333333333333333,0.0,0.177940907427735,0.28322261202756555
5028,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
5028,500,0.5,0.0,0.5,0.041666666666666664,0.0,0.18659339717671988,0.28322261202756555
5028,1000,0.0,0.0,0.0,0.0,0.0,0.18370923392705824,0.28322261202756555
5029,200,0.5,0.0,0.5,0.041666666666666664,0.0,0.269659609362486,0.28322261202756555
5029,500,0.0,0.0,0.0,0.041666666666666664,0.0,0.18082507067739662,0.28322261202756555
5029,1000,0.0,0.0,0.0,0.0,0.0,0.18082507067739662,0.28322261202756555
5030,200,0.0,0.0,0.0,0.041666666666666664,0.0,0.20479184067448877,0.28322261202756555
5030,500,0.0,0.0,0.0,0.0,0.0,0.19889883643092318,0.28322261202756555
5030,1000,0.5,0.0,0.5,0.041666666666666664,0.0,0.27459191368363334,0.28322261202756555
5031,200,0.0,0.0,0.0,0.0,0.0,0.20479184067448877,0.28322261202756555
5031,500,0.0,0.0,0.0,0.041666666666666664,0.0,0.177940907427735,0.28322261202756555
